Date,Title,URL,md_file,ESG_or_not,Story_Type
2026-05-28,Joint media release: Feral cats eradicated from Little Dog Island,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-feral-cats-eradicated-from-little-dog-island,23.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-27,Joint media release: Securing more fertiliser for Australian farmers,https://minister.agriculture.gov.au/collins/media-releases/securing-essential-fuel-and-fertiliser,24.md,Yes,Funding and Grant Announcements
2026-05-26,Joint media release: Digital incoming passenger card expanded to eligible Melbourne-bound international travellers,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-aus-travel-declaration-pilot-expanded-to-melbourne,25.md,Yes,Parliamentary and Political Proceedings
2026-05-26,Next generation of detector dog teams strengthening Australia's biosecurity frontline,https://minister.agriculture.gov.au/collins/media-releases/detector-dog-handler-graduates,26.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-25,Joint media release: From Kakadu to Norfolk Island – Parks Australia prepares for H5 bird flu,https://minister.agriculture.gov.au/collins/media-releases/from-kakadu-to-norfolk-island-bird-flu-prep,27.md,Yes,Funding and Grant Announcements
2026-05-23,Albanese Labor Government backing Casino Beef Week,https://minister.agriculture.gov.au/collins/media-releases/backing-casino-beef-week,28.md,Yes,Funding and Grant Announcements
2026-05-22,Joint media release: Keeping machinery moving when it matters most: Right to Repair reforms for farmers and drivers,https://minister.agriculture.gov.au/collins/media-releases/right-to-repair-reforms-feedback,29.md,Yes,Consultation and Policy Design Opportunities
2026-05-26,"Critical Minerals and Gold guide available in Japanese, Korean and Indonesian","https://resourcingtheterritory.nt.gov.au/news-and-events/news/2026/critical-minerals-and-gold-guide-available-in-japanese,-korean-and-indonesian",30.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-27,NSW Government responds to Net Zero Commission's heat risk warning,https://www.climatechange.environment.nsw.gov.au/news/NSW/Government-responds-to-Net-Zero-Commissions-heat-risk-warning,31.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,"Crisafulli Government fast-tracks more than 5,000 homes for South East Queensland",https://statements.qld.gov.au/statements/105184,32.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Small-scale miners strike it rich with expanded opportunities in Central West Queensland,https://statements.qld.gov.au/statements/105183,33.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,New bridge to strengthen Richmond flood resilience,https://statements.qld.gov.au/statements/105180,34.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,New Capricorn Business Hub to deliver for Rockhampton small businesses,https://statements.qld.gov.au/statements/105178,35.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Crisafulli Government delivers 109 new police officers to frontline to make Queensland safer,https://statements.qld.gov.au/statements/105172,36.md,Yes,State and Local Government Programs
2026-05-28,Crisafulli Government drives new ecotourism opportunities at world-class Eungella National Park,https://statements.qld.gov.au/statements/105170,37.md,Yes,Consultation and Policy Design Opportunities
2026-05-28,Crisafulli Government helps tackle crime for small and family businesses,https://statements.qld.gov.au/statements/105174,38.md,Yes,Funding and Grant Announcements
2026-05-28,"Crisafulli Governmentâ€™s State Flying Squad marks 150 deployments with more than 2,500 arrests",https://statements.qld.gov.au/statements/105171,39.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Rockhampton secures new Youth Foyer in a big win for Central Queensland,https://statements.qld.gov.au/statements/105173,40.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Key Far North Queensland freight route returned to pre-disaster function,https://statements.qld.gov.au/statements/105163,41.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Crisafulli Government delivers safety boost for Western Downs,https://statements.qld.gov.au/statements/105160,42.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,Crisafulli Government delivering new opportunities for Mossman farmers,https://statements.qld.gov.au/statements/105164,43.md,Yes,Funding and Grant Announcements
2026-05-25,Queensland leading the way on plant health with Australia’s first National Tree Forum,https://www.dpi.qld.gov.au/news-media/news/national-tree-forum,44.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,Update on Interprac complaints,https://www.afca.org.au/news/latest-news/update-on-interprac-complaints,45.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-26,AFCA publishes details of expelled members,https://www.afca.org.au/news/latest-news/afca-publishes-details-of-expelled-members-0,46.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-25,Paul Woodburn appointed as Lead Ombudsman Superannuation,https://www.afca.org.au/news/latest-news/paul-woodburn-appointed-lead-ombudsman-superannuation,47.md,Yes,Corporate and Institutional ESG Actions
2026-05-25,Agenda and minutes of the 122nd IESC Meeting,https://www.iesc.gov.au/resource/agenda-and-minutes-122nd-iesc-meeting,48.md,Yes,Parliamentary and Political Proceedings
2026-05-28,"Governor Newsom’s Clean California initiative celebrates 100 community designations across the Golden State, leading the way for safer and cleaner environments",https://www.gov.ca.gov/2026/05/28/governor-newsoms-clean-california-initiative-celebrates-100-community-designations-across-the-golden-state-leading-the-way-for-safer-and-cleaner-environments/,49.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,Governor Newsom proclaims Mental Health Awareness Month,https://www.gov.ca.gov/2026/05/28/governor-newsom-proclaims-mental-health-awareness-month-2/,50.md,Yes,Legislative and Statutory Developments
2026-05-28,Governor Newsom announces new funding for nonprofits and faith-based groups following San Diego mosque shooting,https://www.gov.ca.gov/2026/05/28/governor-newsom-announces-new-funding-for-nonprofits-and-faith-based-groups-following-san-diego-mosque-shooting/,51.md,Yes,Funding and Grant Announcements
2026-05-27,Governor Newsom signs legislation to further protect California elections from interference and intimidation,https://www.gov.ca.gov/2026/05/27/governor-newsom-signs-legislation-to-further-protect-california-elections-from-interference-and-intimidation/,52.md,Yes,Legislative and Statutory Developments
2026-05-27,Governor Newsom proclaims Small Business Month,https://www.gov.ca.gov/2026/05/27/governor-newsom-proclaims-small-business-month/,53.md,Yes,Legislative and Statutory Developments
2026-05-25,Governor Newsom secures Presidential Emergency Declaration approval for Orange County hazmat response,https://www.gov.ca.gov/2026/05/25/governor-newsom-secures-presidential-emergency-declaration-approval-for-orange-county-hazmat-response/,54.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-25,From climate ambition to action: GCF and GGGI emphasise partnerships and institutional capacity,https://www.greenclimate.fund/news/climate-ambition-action-gcf-and-gggI-emphasise-partnerships-and-institutional-capacity,55.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-29,New energy projects to underpin South Australia's capacity,https://www.energymining.sa.gov.au/home/news/latest/new-energy-projects-to-underpin-south-australias-capacity,56.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Transport costs drives fall in household spending,https://www.abs.gov.au/media-centre/media-releases/transport-costs-drives-fall-household-spending,57.md,No,
2026-05-28,Data centre investment drives new capital expenditure,https://www.abs.gov.au/media-centre/media-releases/data-centre-investment-drives-new-capital-expenditure,58.md,No,
2026-05-27,CPI rose 4.2% in the year to April 2026,https://www.abs.gov.au/media-centre/media-releases/cpi-rose-42-year-april-2026,59.md,No,
2026-05-26,Fuel costs and shortages put pressure on 72% of Australian businesses,https://www.abs.gov.au/media-centre/media-releases/fuel-costs-and-shortages-put-pressure-72-australian-businesses,60.md,No,
2026-05-26,7 new insights into the Great Barrier Reef Region,https://www.abs.gov.au/media-centre/media-releases/7-new-insights-great-barrier-reef-region,61.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-22,"Message from the Director of UNESCO World Heritage Centre, Mr Lazare Eloundou Assomo, for International Day for Biological Diversity 2026",https://whc.unesco.org/en/news/2899,62.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,$12 million unlocked to deliver infrastructure in regional communities,https://www.planning.nsw.gov.au/news/12-million-unlocked-to-deliver-infrastructure-in-regional-communities,63.md,Yes,Funding and Grant Announcements
2026-05-29,"Hydrometallurgical Processing for Nickel and Cobalt Ores, Concentrates, Tailings, Wastes – Stage 2 (FBI CRC Project No. 029)",https://www.mriwa.wa.gov.au/news-and-events/hydrometallurgical-processing-for-nickel-and-cobalt-ores-concentrates-tailings-wastes-stage-2-fbi-crc-project-no-029/,64.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-27,Delivering seismic imaging within the exploration workflow,https://www.mriwa.wa.gov.au/news-and-events/delivering-seismic-imaging-within-the-exploration-workflow/,65.md,No,
2026-05-26,Committees bringing law to life for uni students,https://www.parliament.vic.gov.au/news/general-news/unilawprog,66.md,Yes,Parliamentary and Political Proceedings
2026-05-22,Community projects explore civic participation,https://www.parliament.vic.gov.au/news/general-news/civic-projects,67.md,Yes,"Community, First Nations, and Social Licence Initiatives"
2026-05-29,Blog Driven by nature: Meet Sarah,https://www2.gbrmpa.gov.au/news/driven-nature-meet-sarah,68.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-28,Climate change Turtle egg relocation provides future population hope,https://www2.gbrmpa.gov.au/news/turtle-egg-relocation-provides-future-population-hope,69.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-27,Blog All in for National Reconciliation Week,https://www2.gbrmpa.gov.au/news/all-national-reconciliation-week,70.md,Yes,Corporate and Institutional ESG Actions
2026-05-22,VAT in the Digital Age: 2026 Work Programme available,https://taxation-customs.ec.europa.eu/news/vat-digital-age-2026-work-programme-available-2026-05-22_en,71.md,Yes,Legislative and Statutory Developments
2026-05-28,Tackling youth unemployment: MEPs conclude fact-finding visit to La Réunion,https://www.europarl.europa.eu/news/en/press-room/20260528IPR44106/tackling-youth-unemployment-meps-conclude-fact-finding-visit-to-la-reunion,72.md,Yes,Parliamentary and Political Proceedings
2026-05-29,Register for our HSR Forum or recognise a worthy HSR,https://www.nopsema.gov.au/blogs/register-our-hsr-forum-or-recognise-worthy-hsr,CLEANED,NO FILE,
2026-05-28,How NOPSEMA investigates – and why it matters,https://www.nopsema.gov.au/blogs/how-nopsema-investigates-and-why-it-matters,74.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-29,Labor Government maintains strong financial performance,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Labor-Government-maintains-strong-financial-performance-20260529,75.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Waterwise program garners national accolade for excellence,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Waterwise-program-garners-national-accolade-for-excellence-20260529,76.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,Cook Labor Government and Minderoo Foundation investing in Early Years Partnership,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-and-Minderoo-Foundation-investing-in-Early-Years-Partnership-20260529,77.md,Yes,Funding and Grant Announcements
2026-05-29,Mitchell Freeway safety cameras operational from 1 June,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Mitchell-Freeway-safety-cameras-operational-from-1-June-20260529,78.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-29,New funding to stop family and domestic violence before it starts,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-funding-to-stop-family-and-domestic-violence-before-it-starts-20260529,79.md,Yes,Funding and Grant Announcements
2026-05-29,Ocean Reef Marina community facilities now operational,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Ocean-Reef-Marina-community-facilities-now-operational-20260529,80.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Major redevelopment for Wanneroo Districts Rugby Union Club backed in,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Major-redevelopment-for-Wanneroo-Districts-Rugby-Union-Club-backed-in-20260529,81.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,"Moody's reaffirms Western Australia's triple-A credit rating, reflecting strong financial management","https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Moody's-reaffirms-Western-Australia's-triple-A-credit-rating,-reflecting-strong-financial-management-20260528",82.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Music and mental health take centre stage with WAM,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Music-and-mental-health-take-centre-stage-with-WAM-20260528,83.md,Yes,Funding and Grant Announcements
2026-05-28,New round of funding to upgrade off-road vehicle areas in WA,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-round-of-funding-to-upgrade-off-road-vehicle-areas-in-WA-20260528,84.md,Yes,Funding and Grant Announcements
2026-05-28,New appointees to take seat at SWDC Board table,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-appointees-to-take-seat-at-SWDC-Board-table-20260528,85.md,Yes,State and Local Government Programs
2026-05-28,WA's world-leading resources sector continues to drive economy,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA's-world-leading-resources-sector-continues-to-drive-economy-20260528,86.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Future of Mount Hospital secured for patients and staff,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Future-of-Mount-Hospital-secured-for-patients-and-staff-20260528,87.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,Wildcats partnership a slam dunk for WA defence industry,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Wildcats-partnership-a-slam-dunk-for-WA-defence-industry-20260528,88.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-28,Educators armed to inspire WA's future defence workforce,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Educators-armed-to-inspire-WA's-future-defence-workforce-20260528,89.md,Yes,State and Local Government Programs
2026-05-28,New training hub to shape future of public education in WA,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-training-hub-to-shape-future-of-public-education-in-WA-20260528,90.md,Yes,Funding and Grant Announcements
2026-05-28,WA petroleum acreage release nominations now open,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/WA-petroleum-acreage-release-nominations-now-open-20260527,91.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,First residential lots for sale at the former Beaconsfield TAFE,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/First-residential-lots-for-sale-at-the-former-Beaconsfield-TAFE-20260527,92.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-27,New training and guidance to strengthen local design review,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/New-training-and-guidance-to-strengthen-local-design-review--20260527,93.md,Yes,State and Local Government Programs
2026-05-27,Work underway on $3.5 million Kwinana Loop Trail upgrade,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Work-underway-on-$3.5-million-Kwinana-Loop-Trail-upgrade-20260527,94.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-29,Global labour markets cool but hold steady,https://www.jobsandskills.gov.au/news/global-labour-markets-cool-hold-steady,95.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Rising costs and fuel disruptions shift employer sentiment in early 2026,https://www.jobsandskills.gov.au/news/rising-costs-and-fuel-disruptions-shift-employer-sentiment-early-2026,96.md,No,
2026-05-28,Professor Barney Glover departs Jobs and Skills Australia,https://www.jobsandskills.gov.au/news/professor-barney-glover-departs-jobs-and-skills-australia,97.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-27,New data reveals a fuller picture of hiring across Australia,https://www.jobsandskills.gov.au/news/new-data-reveals-fuller-picture-hiring-across-australia,CLEANED,NO FILE,
2026-05-29,Media release - IPART responds to submissions on Central Coast Councils maximum water prices - 29 May 2026,https://www.ipart.nsw.gov.au/documents/media-release/media-release-ipart-responds-to-submissions-central-coast-councils-maximum-water-prices-29-may-2026,CLEANED,NO FILE,
2026-05-25,Media Release - IPART seeks feedback on developer charges framework for metropolitan water services - 25 May 2026,https://www.ipart.nsw.gov.au/documents/media-release/media-release-ipart-seeks-feedback-on-developer-charges-framework-for-metropolitan-water-services-25-May-2026,CLEANED,NO FILE,
2026-05-25,Media release - IPART publishes NSW solar feed-in tariff benchmarks for 2026-27,https://www.ipart.nsw.gov.au/documents/media-release/media-release-ipart-publishes-nsw-solar-feed-tariff-benchmarks-for-2026-27,101.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-22,NAIF hits $3 billion milestone in investing in the north,https://www.naif.gov.au/media-centre/naif-hits-3-billion-milestone-in-investing-in-the-north/,102.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,What is Indigenous Cultural Intellectual Property: An explainer,https://www.ansto.gov.au/news/what-indigenous-cultural-intellectual-property-an-explainer,103.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-29,Solar Homes Program continuing to provide targeted assistance,https://www.solar.vic.gov.au/solar-homes-program-continuing-provide-targeted-assistance,104.md,Yes,Funding and Grant Announcements
2026-05-28,"Solar Victoria hits 500,000 approvals",https://www.solar.vic.gov.au/solar-victoria-hits-500000-approvals,105.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-26,Stronger safety and cyber security protections under Solar Homes,https://www.solar.vic.gov.au/stronger-safety-and-cyber-security-protections-under-solar-homes,106.md,Yes,Legislative and Statutory Developments
2026-05-25,Beyond Commitments: A Canbury Insights analysis using IGCC’s Capital Allocation Alignment Framework,https://igcc.org.au/beyond-commitments-a-canbury-insights-analysis-using-igccs-capital-allocation-alignment-framework/,107.md,Yes,Corporate and Institutional ESG Actions
2026-05-29,Parks Australia prepares for H5 bird flu,https://www.dcceew.gov.au/about/news/parks-australia-prepares-for-h5-bird-flu,108.md,Yes,Funding and Grant Announcements
2026-05-29,Protecting Basin wetlands from climate change,https://www.dcceew.gov.au/about/news/protecting-basin-wetlands-from-climate-change,109.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,National Greenhouse Gas Inventory: December 2025,https://www.dcceew.gov.au/about/news/australias-greenhouse-gas-emissions-dec-2025-quarterly-update,110.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-28,Latest Default Market Offer has free power option,https://www.dcceew.gov.au/about/news/latest-default-market-offer-free-power-option,111.md,Yes,Legislative and Statutory Developments
2026-05-28,Nature Repair Market gains momentum,https://www.dcceew.gov.au/about/news/nature-repair-market-gains-momentum,112.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
=======
2026-05-27,Grant submissions closing soon,https://resources.vic.gov.au/about-us/news/grant-submissions-closing-soon,5.md,Yes,Funding and Grant Announcements
2026-05-29,Governor Newsom applauds updates to California’s Cap-and-Invest Program,https://www.gov.ca.gov/2026/05/29/governor-newsom-applauds-updates-to-californias-cap-and-invest-program/,6.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,"Governor Newsom celebrates graduation of emergency response leaders, highlights investments since 2019",https://www.gov.ca.gov/2026/05/29/governor-newsom-celebrates-graduation-of-emergency-response-leaders-highlights-investments-since-2019/,7.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments"
2026-05-28,"Governor Newsom’s Clean California initiative celebrates 100 community designations across the Golden State, leading the way for safer and cleaner environments",https://www.gov.ca.gov/2026/05/28/governor-newsoms-clean-california-initiative-celebrates-100-community-designations-across-the-golden-state-leading-the-way-for-safer-and-cleaner-environments/,8.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,"First Partner Siebel Newsom celebrates the annual Move Your Body, Calm Your Mind Day in Sacramento",https://www.gov.ca.gov/2026/05/29/first-partner-siebel-newsom-celebrates-the-annual-move-your-body-calm-your-mind-day-in-sacramento/,9.md,Yes,"Community, First Nations, and Social Licence Initiatives"
2026-05-29,Governor Newsom proclaims Foster Care Month,https://www.gov.ca.gov/2026/05/29/governor-newsom-proclaims-foster-care-month/,10.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-27,NSW Government responds to Net Zero Commission's heat risk warning,https://www.climatechange.environment.nsw.gov.au/news/NSW/Government-responds-to-Net-Zero-Commissions-heat-risk-warning,11.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-25,The countdown is on: only 5 weeks until Payday Super starts,https://www.ato.gov.au/media-centre/the-countdown-is-on-only-5-weeks-until-payday-super-starts,12.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-28,Control over Scotland’s energy,https://www.gov.scot/news/control-over-scotlands-energy/,13.md,Yes,Parliamentary and Political Proceedings
2026-05-27,First Homes Fund open by end of June,https://www.gov.scot/news/first-homes-fund-open-by-end-of-june/,14.md,Yes,Funding and Grant Announcements
2026-05-27,Monthly GDP Estimates for March,https://www.gov.scot/news/monthly-gdp-estimates-for-march-3/,15.md,No,
2026-05-27,Scottish Shellfish Farm Production Survey 2025,https://www.gov.scot/news/scottish-shellfish-farm-production-survey-2025/,16.md,No,
2026-05-26,Ambitious for Scotland,https://www.gov.scot/news/ambitious-for-scotland/,17.md,Yes,Parliamentary and Political Proceedings
2026-05-26,"Over 321,000 children getting vital support",https://www.gov.scot/news/over-321-000-children-getting-vital-support/,18.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-26,Progress on waiting times continues,https://www.gov.scot/news/progress-on-waiting-times-continues/,19.md,No,
2026-05-26,"Housing Statistics for Scotland, 2024-25",https://www.gov.scot/news/housing-statistics-for-scotland-2024-25/,20.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-26,Scottish House Condition Survey: Local Authority Tables,https://www.gov.scot/news/scottish-house-condition-survey-local-authority-tables/,21.md,Yes,"Reports, Data Releases, and Analytical Insights"
2026-05-25,DFM kicks off Scotland’s Summer of Sport,https://www.gov.scot/news/dfm-kicks-off-scotlands-summer-of-sport/,22.md,Yes,Funding and Grant Announcements
2026-05-29,"Meeting communiqué: Housing, Homelessness, Planning and Building Ministers’ Meeting, May 2026",https://treasury.gov.au/media-release/meeting-communique-building-ministers-may-2026,23.md,Yes,Funding and Grant Announcements
2026-05-29,Strengthening drought resilience across the country,https://minister.agriculture.gov.au/collins/media-releases/7-fdf-drought-resilience-hubs,24.md,Yes,Funding and Grant Announcements
2026-05-28,Joint media release: Feral cats eradicated from Little Dog Island,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-feral-cats-eradicated-from-little-dog-island,25.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-27,Joint media release: Securing more fertiliser for Australian farmers,https://minister.agriculture.gov.au/collins/media-releases/securing-essential-fuel-and-fertiliser,CLEANED,NO FILE,
2026-05-26,Joint media release: Digital incoming passenger card expanded to eligible Melbourne-bound international travellers,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-aus-travel-declaration-pilot-expanded-to-melbourne,27.md,Yes,"Ministerial, Diplomatic, and International Engagements"
2026-05-26,Next generation of detector dog teams strengthening Australia's biosecurity frontline,https://minister.agriculture.gov.au/collins/media-releases/detector-dog-handler-graduates,28.md,Yes,"Compliance, Oversight, and Enforcement Actions"
2026-05-25,Joint media release: From Kakadu to Norfolk Island – Parks Australia prepares for H5 bird flu,https://minister.agriculture.gov.au/collins/media-releases/from-kakadu-to-norfolk-island-bird-flu-prep,29.md,Yes,Funding and Grant Announcements
2026-05-23,Albanese Labor Government backing Casino Beef Week,https://minister.agriculture.gov.au/collins/media-releases/backing-casino-beef-week,30.md,Yes,Funding and Grant Announcements
2026-05-25,Queensland leading the way on plant health with Australia’s first National Tree Forum,https://www.dpi.qld.gov.au/news-media/news/national-tree-forum,31.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy"
2026-05-29,Women in Maritime Day highlights gender equality progress and ongoing gaps,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2455.aspx,32.md,Yes,Corporate and Institutional ESG Actions
2026-05-29,Eurostat: Energy use in the industry sector continues to decline,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260529-1,33.md,Yes,"Reports, Data Releases, and Analytical Insights"
