Date,Title,URL,md_file,ESG_or_not,Story_Type,Jurisdiction
2026-03-03,Joint media release: Australia's agricultural production on track to exceed 2030 industry target,https://minister.agriculture.gov.au/collins/media-release/joint-media-release-national-farmers-federation-aus-agriculture-production-2026,30.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-02,New acreage release in the Beetaloo Sub-basin,https://resourcingtheterritory.nt.gov.au/news-and-events/news/2026/new-acreage-release-in-the-beetaloo-sub-basin,31.md,No,,
2026-03-09,Driving Forward Generational Infrastructure on the Sunshine Coast,https://statements.qld.gov.au/statements/104648,32.md,No,,
2026-03-08,Singapore and India trade mission to deliver for Queensland,https://statements.qld.gov.au/statements/104649,33.md,No,,
2026-03-08,Supporting women to return to work as Women’s Career Grants ramp up,https://statements.qld.gov.au/statements/104634,34.md,Yes,Funding and Grant Announcements,Queensland
2026-03-07,Glasshouse Theatre throws open the doors for Community Day celebration,https://statements.qld.gov.au/statements/104646,35.md,No,,
2026-03-07,A proud night for Queensland at the Australian Tourism Awards,https://statements.qld.gov.au/statements/104647,36.md,Yes,"Reports, Data Releases, and Analytical Insights",Queensland
2026-03-06,New appointments across justice portfolio,https://statements.qld.gov.au/statements/104636,37.md,Yes,Legislative and Statutory Developments,Queensland
2026-03-06,Statement from the Attorney-General,https://statements.qld.gov.au/statements/104644,38.md,Yes,Legislative and Statutory Developments,Queensland
2026-03-06,"Targeted hardship assistance for Charters Towers, and application window extended for six LGAs",https://statements.qld.gov.au/statements/104645,39.md,Yes,Funding and Grant Announcements,Queensland
2026-03-06,Women in Manufacturing Apprentice Awards announced,https://statements.qld.gov.au/statements/104640,40.md,Yes,Funding and Grant Announcements,Queensland
2026-03-06,Crisafulli Government drives housing delivery in Toowoomba,https://statements.qld.gov.au/statements/104637,41.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",Queensland
2026-03-06,Caboolture-Bribie Island Road duplication complete ahead of schedule,https://statements.qld.gov.au/statements/104638,42.md,No,,
2026-03-06,Inaugural Quantum Challenge makes big impact,https://statements.qld.gov.au/statements/104641,43.md,Yes,Funding and Grant Announcements,Queensland
2026-03-02,News South Australia rockets up the charts as a global mining destination,https://www.energymining.sa.gov.au/home/news/latest/south-australia-rockets-up-the-charts-as-a-global-mining-destination,44.md,Yes,"Reports, Data Releases, and Analytical Insights",South Australia
2026-03-02,AFCA announces three new C-suite appointments,https://www.afca.org.au/news/media-releases/afca-announces-three-new-c-suite-appointments,45.md,Yes,Corporate and Institutional ESG Actions,National
2026-03-06,Commission approves €150 million Romanian State aid scheme for electricity storage,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_524,46.md,No,,
2026-03-05,Energy Union Task Force meets to discuss energy security and prices in Europe,https://energy.ec.europa.eu/news/energy-union-task-force-meets-discuss-energy-security-and-prices-europe-2026-03-05_en,47.md,Yes,Consultation and Policy Design Opportunities,International
2026-03-04,Commission and EU countries confirm no immediate oil or gas supply concerns following the disruptions in the Middle East,https://energy.ec.europa.eu/news/commission-and-eu-countries-confirm-no-immediate-oil-or-gas-supply-concerns-following-disruptions-2026-03-04_en,48.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-03,"Press statement of Dan Jørgensen, European Commissioner for Energy and Housing and Parviz Shahbazov, Minister of Energy of the Republic of Azerbaijan",https://energy.ec.europa.eu/news/press-statement-dan-jorgensen-european-commissioner-energy-and-housing-and-parviz-shahbazov-minister-2026-03-03_en,49.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-03,New call under the EU Renewable Energy Financing Mechanism to support solar PV projects in Bulgaria and Finland,https://cinea.ec.europa.eu/news-events/news/renewfm-new-call-under-eu-renewable-energy-financing-mechanism-support-solar-pv-projects-bulgaria-2026-03-03_en,50.md,Yes,Funding and Grant Announcements,International
2026-03-02,"Commissioner Jørgensen in Azerbaijan to discuss energy security, diversification and clean energy transition",https://energy.ec.europa.eu/news/commissioner-jorgensen-azerbaijan-discuss-energy-security-diversification-and-clean-energy-2026-03-02_en,51.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-09,World Wood Day 2026: Building Queensland’s future with sustainable timber,https://www.dpi.qld.gov.au/news-media/news/world-wood-day,52.md,Yes,Consultation and Policy Design Opportunities,Queensland
2026-03-05,Join us at Your Catch Counts activation events,https://www.dpi.qld.gov.au/news-media/news/join-us-at-our-activation-events,53.md,Yes,"Community, First Nations, and Social Licence Initiatives",Queensland
2026-03-02,IESC advice on Ulan West Modification 8 Project,https://www.iesc.gov.au/projectadvice/advice-decision-maker-ulan-west-modification-8-project-iesc-2026-163,54.md,No,,
2026-03-02,Agenda and minutes of the 121st IESC Meeting,https://www.iesc.gov.au/resource/agenda-and-minutes-121st-iesc-meeting,55.md,Yes,Parliamentary and Political Proceedings,National
2026-03-06,First CBAM Certificate price to be published on 7 April,https://taxation-customs.ec.europa.eu/news/first-cbam-certificate-price-be-published-7-april-2026-03-06_en,56.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",International
2026-03-03,"Protein powder, sunglasses, moisturiser: what do these products have in common? If you buy them online, they most likely violate EU product standards",https://taxation-customs.ec.europa.eu/news/protein-powder-sunglasses-moisturiser-what-do-these-products-have-common-if-you-buy-them-online-they-2026-03-03_en,57.md,Yes,"Compliance, Oversight, and Enforcement Actions",International
2026-03-02,Commission Unveils Updated Learning Opportunities for Customs and Tax Professionals,https://taxation-customs.ec.europa.eu/news/commission-unveils-updated-learning-opportunities-customs-and-tax-professionals-2026-03-02_en,58.md,Yes,Consultation and Policy Design Opportunities,International
2026-03-02,CBAM call for tender to establish the Common Central Platform (CCP),https://taxation-customs.ec.europa.eu/news/cbam-call-tender-establish-common-central-platform-ccp-2026-03-02_en,59.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",International
2026-03-06,IMO Secretary-General: Seafarer deaths in Strait of Hormuz unacceptable,https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-secretary-general-statement-strait-of-hormuz-seafarer-deaths-unacceptable.aspx,60.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-05,Enhancing transparency in Port State Control through an updated data-exchange agreement,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2433.aspx,61.md,Yes,"Compliance, Oversight, and Enforcement Actions",International
2026-03-03,Trinidad and Tobago enhances readiness for hazardous and noxious marine spills,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2432.aspx,62.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",International
2026-03-02,New sulphur and nitrogen emission limits enter into force in the Canadian Arctic and the Norwegian Sea,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2431.aspx,63.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",International
2026-03-03,"Update on response to Shield and First Guardian collapse, including AFCA membership of financial firms in liquidation",https://www.afca.org.au/news/latest-news/update-on-response-to-shield-and-first-guardian-collapse-including-afca-membership-of-financial-firms-in-liquidation,64.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-04,AASB March Board Meeting Public Agenda and Papers out now,https://aasb.gov.au/news/aasb-march-board-meeting-public-agenda-and-papers-out-now/,65.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-04,Narrow scope amendments to the fair value option in AASB 128,https://aasb.gov.au/news/narrow-scope-amendments-to-the-fair-value-option-in-aasb-128/,66.md,No,,
2026-03-06,Press conference: protection of copyright in the age of artificial intelligence,https://www.europarl.europa.eu/news/en/press-room/20260303IPR37004/press-conference-protection-of-copyright-in-the-age-of-artificial-intelligence,67.md,Yes,Legislative and Statutory Developments,International
2026-03-05,Deal on measures to reinforce farmers’ position in the food supply chain,https://www.europarl.europa.eu/news/en/press-room/20260302IPR36912/deal-on-measures-to-reinforce-farmers-position-in-the-food-supply-chain,68.md,Yes,Legislative and Statutory Developments,International
2026-03-05,Press briefing on next week’s plenary session,https://www.europarl.europa.eu/news/en/press-room/20260305IPR37410/press-briefing-on-next-week-s-plenary-session,69.md,No,,
2026-03-02,International Women’s Day: women’s rights and democracy in the digital age,https://www.europarl.europa.eu/news/en/press-room/20260302IPR36903/international-women-s-day-women-s-rights-and-democracy-in-the-digital-age,70.md,Yes,Parliamentary and Political Proceedings,International
2026-03-03,"Message from the Director of World Heritage Centre, Lazare Eloundou Assomo, for World Wildlife Day 2026",https://whc.unesco.org/en/news/2871,71.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-05,Joint Statement from the IAASB and IESBA Chairs Welcoming Emily Fitts as Chair of the Monitoring Group,https://www.iaasb.org/news-events/2026-03/joint-statement-iaasb-and-iesba-chairs-welcoming-emily-fitts-chair-monitoring-group,72.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-04,The Skeptic's Pause,https://www.iaasb.org/news-events/2026-03/skeptic-s-pause,73.md,No,,
2026-03-06,15 million people employed in December 2025,https://www.abs.gov.au/media-centre/media-releases/15-million-people-employed-december-2025,74.md,No,,
2026-03-05,Strong growth in services lifts household spending,https://www.abs.gov.au/media-centre/media-releases/strong-growth-services-lifts-household-spending-0,75.md,No,,
2026-03-05,Independent schools drive rise in enrolments,https://www.abs.gov.au/media-centre/media-releases/independent-schools-drive-rise-enrolments,76.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-04,Australian economy grew 0.8% in the December quarter,https://www.abs.gov.au/media-centre/media-releases/australian-economy-grew-08-december-quarter,77.md,No,,
2026-03-03,Total approvals fall in January,https://www.abs.gov.au/media-centre/media-releases/total-approvals-fall-january,78.md,No,,
2026-03-03,Current account deficit widens,https://www.abs.gov.au/media-centre/media-releases/current-account-deficit-widens,79.md,No,,
2026-03-02,Winter crops recover with 20% rise in value for 2024-25,https://www.abs.gov.au/media-centre/media-releases/winter-crops-recover-20-rise-value-2024-25,80.md,No,,
2026-03-05,Supporting Hunter producers through a variable season,https://www.nsw.gov.au/departments-and-agencies/local-land-services/news/supporting-hunter-producers-through-a-variable-season,81.md,Yes,"Reports, Data Releases, and Analytical Insights",NSW
2026-03-03,Connect and protect: Meet Warren,https://www2.gbrmpa.gov.au/news/connect-and-protect-meet-warren,82.md,Yes,"Environmental Protection, Biodiversity, and Nature Policy",Queensland
2026-03-02,Webinar: Higher Education Outcomes,https://www.jobsandskills.gov.au/news/webinar-higher-education-outcomes,83.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-02,Upgraded RLMI gives strongest insight yet into regional labour markets,https://www.jobsandskills.gov.au/news/upgraded-rlmi-gives-strongest-insight-yet-regional-labour-markets,84.md,No,,
2026-03-06,"Women on the front line, communities in the lead: drought resilience takes root in Southern Africa",https://www.unccd.int/news-stories/stories/women-front-line-communities-lead-drought-resilience-takes-root-southern,85.md,Yes,Funding and Grant Announcements,International
2026-03-02,Renewable energy is a clear solution to the fossil fuel cost chaos: Statement from UN Climate Change Executive Secretary,https://unfccc.int/news/renewable-energy-is-a-clear-solution-to-the-fossil-fuel-cost-chaos-statement-from-un-climate-change,86.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-04,Securing long-term investment in northern Australia,https://www.naif.gov.au/media-centre/securing-long-term-investment-in-northern-australia/,87.md,Yes,Legislative and Statutory Developments,National
2026-03-02,New NAIF CEO Neil MacDonald Commences Role Based in Cairns,https://www.naif.gov.au/media-centre/new-naif-ceo-neil-macdonald-commences-role-based-in-cairns/,88.md,No,,
2026-03-09,MRIWA RESEARCH SHOWCASE 2026,https://www.mriwa.wa.gov.au/news-and-events/mriwa-events/mriwa-research-showcase-2026/,89.md,Yes,Consultation and Policy Design Opportunities,Western Australia
2026-03-09,Innovative green hydrogen and ammonia project to cut emissions for Moree farms,https://www.planning.nsw.gov.au/news/innovative-green-hydrogen-and-ammonia-project-cut-emissions-moree-farms,90.md,No,,
2026-03-04,"More than 7,800 homes declared State significant",https://www.planning.nsw.gov.au/news/more-than-7800-homes-declared-state-significant,91.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",NSW
2026-03-02,Speeding up the planning system to get shovels in the ground sooner,https://www.planning.nsw.gov.au/news/speeding-up-the-planning-system-to-get-shovels-in-the-ground-sooner,92.md,Yes,Legislative and Statutory Developments,NSW
2026-03-05,Synchrotron X-rays reveal pathway to greener fertiliser production,https://www.ansto.gov.au/news/synchrotron-x-rays-reveal-pathway-to-greener-fertiliser-production,93.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-02,"Mine Land Rehabilitation Authority (MLRA) Closure -Important announcement from Dr Jen Brereton, CEO of the MLRA",https://www.mineland.vic.gov.au/events/mine-land-rehabilitation-authority-mlra-closure-important-announcement-from-dr-jen-brereton-ceo-of-the-mlra/,94.md,Yes,Corporate and Institutional ESG Actions,Victoria
2026-03-06,Torres Strait prepares for H5 bird flu,https://www.dcceew.gov.au/about/news/torres-strait-prepares-h5-bird-flu,95.md,Yes,Funding and Grant Announcements,Queensland
2026-03-06,Australia and Canada sign first clean energy partnership,https://www.dcceew.gov.au/about/news/australia-canada-sign-first-clean-energy-partnership,96.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-04,Clean energy advice for First Nations peoples,https://www.dcceew.gov.au/about/news/clean-energy-advice-first-nations-peoples,97.md,Yes,Funding and Grant Announcements,National
2026-03-03,World Wildlife Day: protecting native plants,https://www.dcceew.gov.au/about/news/world-wildlife-day-protecting-native-plants,98.md,Yes,Funding and Grant Announcements,National
2026-03-02,Have your say on the new national H2 Regulatory Guidebook for Pipelines,https://www.dcceew.gov.au/about/news/hys-new-national-h2-regulatory-guidebook-pipelines,99.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-06,Television interview - Sky Newsday,https://www.pm.gov.au/media/television-interview-sky-newsday-0,100.md,No,,
2026-03-05,"Press conference - Parliament House, Canberra",https://www.pm.gov.au/media/press-conference-parliament-house-canberra-45,101.md,No,,
2026-03-05,Australia-Canada Joint Statement,https://www.pm.gov.au/media/australia-canada-joint-statement,102.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-05,Welcome to the Prime Minister of Canada,https://www.pm.gov.au/media/welcome-prime-minister-canada,103.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-05,"Opening remarks - Parliament House, Canberra",https://www.pm.gov.au/media/opening-remarks-parliament-house-canberra-2,104.md,Yes,"Ministerial, Diplomatic, and International Engagements",International
2026-03-04,Retirement of Pat Turner AM,https://www.pm.gov.au/media/retirement-pat-turner-am,105.md,Yes,"Community, First Nations, and Social Licence Initiatives",National
2026-03-04,Why we're building high speed rail,https://www.pm.gov.au/media/why-were-building-high-speed-rail,106.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",National
2026-03-02,Television interview - ABC 7.30,https://www.pm.gov.au/media/television-interview-abc-730-16,107.md,No,,
2026-03-05,Federal Court Star Entertainment judgment,https://www.aicd.com.au/news-media/media-releases/2026/federal-court-star-entertainment-judgment.html,108.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-03,AICD Gender Diversity Snapshot,https://www.aicd.com.au/news-media/media-releases/2026/aicd-gender-diversity-snapshot.html,109.md,Yes,Corporate and Institutional ESG Actions,National
2026-03-05,WTO members conclude month-long reform discussions in Geneva,https://www.wto.org/english/news_e/news26_e/refrm_05mar26_306_e.htm,110.md,No,,
2026-03-06,"Chair of agriculture talks circulates revised draft text, as MC14 outline emerges",https://www.wto.org/english/news_e/news26_e/agng_06mar26_309_e.htm,111.md,No,,
2026-03-06,DG Okonjo-Iweala urges members to explore new ways to revitalize WTO at South-South event,https://www.wto.org/english/news_e/news26_e/devel_06mar26_308_e.htm,112.md,No,,
2026-03-06,"Ahead of Women’s Day, WEIDE Fund announces US$ 1.76-million grants to women-led businesses",https://www.wto.org/english/news_e/news26_e/women_06mar26_305_e.htm,113.md,No,,
2026-03-06,"EU contributes EUR 75,000 to support LDC participation at MC14",https://www.wto.org/english/news_e/pres26_e/pr991_301_e.htm,114.md,Yes,Funding and Grant Announcements,International
2026-03-06,"EU contributes EUR 1 million to strengthen trade capacity in developing economies, LDCs",https://www.wto.org/english/news_e/pres26_e/pr990_300_e.htm,115.md,No,,
2026-03-04,"Government Procurement Committee discusses GPA implementation, progress in accessions",https://www.wto.org/english/news_e/news26_e/gpro_04mar26_307_e.htm,116.md,No,,
2026-03-04,"Heads of WTO, EIB sign landmark agreement to boost trade and investment",https://www.wto.org/english/news_e/news26_e/serv_04mar26_303_e.htm,117.md,No,,
2026-03-03,WTO members consider new e-commerce proposal and previous submissions ahead of MC14,https://www.wto.org/english/news_e/news26_e/ecwp_03mar26_304_e.htm,118.md,No,,
2026-03-03,"WTO members review five regional trade agreements, discuss transparency issues",https://www.wto.org/english/news_e/news26_e/rta_03mar26_299_e.htm,119.md,No,,
2026-03-02,"WTO MSME Group welcomes expansion, highlights successful entrepreneurs and MC14 plans",https://www.wto.org/english/news_e/news26_e/igmsm_02mar26_302_e.htm,120.md,No,,
2026-03-04,In Memoriam: Rafeeuddin Ahmed,https://www.untourism.int/news/in-memoriam-rafeeuddin-ahmed,121.md,No,,
2026-03-04,UN Tourism and TUI Care Foundation join hands to support Rural Artists and Artisans Across Africa,https://www.untourism.int/news/un-tourism-and-tui-care-foundation-join-hands-to-support-rural-artists-and-artisans-across-africa,122.md,Yes,Funding and Grant Announcements,International
2026-03-05,Catalyzing Investments to Scale Up Climate-Resilient Agriculture: India Landscape Accelerator Launch,https://www.wbcsd.org/news/catalyzing-investments-to-scale-up-climate-resilient-agriculture-india-landscape-accelerator-launch/,123.md,Yes,Corporate and Institutional ESG Actions,International
2026-03-04,How internal carbon pricing can support capital allocation and risk management,https://www.wbcsd.org/news/how-internal-carbon-pricing-can-support-capital-allocation-and-risk-management/,124.md,Yes,Corporate and Institutional ESG Actions,International
2026-03-09,Top 3 questions before requesting lodgment deferrals,https://www.ato.gov.au/tax-and-super-professionals/for-tax-professionals/tax-professionals-newsroom/top-3-questions-before-requesting-lodgment-deferrals,125.md,No,,
2026-03-06,The countdown is on for Payday Super!,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/the-countdown-is-on-for-payday-super,126.md,No,,
2026-03-06,Late payment offset will no longer be available,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/late-payment-offset-will-no-longer-be-available,127.md,No,,
2026-03-05,SBSCH users must download their records before 30 June,https://www.ato.gov.au/tax-and-super-professionals/for-tax-professionals/tax-professionals-newsroom/sbsch-users-must-download-their-records-before-30-june,128.md,No,,
2026-03-05,Public country-by-country reporting lodgment instructions available,https://www.ato.gov.au/businesses-and-organisations/business-bulletins-newsroom/public-country-by-country-reporting-lodgment-instructions-available,129.md,No,,
2026-03-05,About the Register of Foreign Ownership of Australian Assets,https://www.ato.gov.au/individuals-and-families/investments-and-assets/foreign-resident-investments/foreign-investment-in-australia/register-of-foreign-ownership-of-australian-assets/about-the-register-of-foreign-ownership-of-australian-assets,130.md,No,,
2026-03-05,Register of Foreign Ownership of Australian Assets 2024–25 Report,https://www.ato.gov.au/individuals-and-families/investments-and-assets/foreign-resident-investments/foreign-investment-in-australia/register-of-foreign-ownership-of-australian-assets/register-of-foreign-ownership-of-australian-assets-reports/register-of-foreign-ownership-of-australian-assets-2024-25-report,131.md,No,,
2026-03-05,ATO consultation report,https://www.ato.gov.au/about-ato/consultation/ato-consultation-report,132.md,No,,
2026-03-04,Turning a hobby into income? You might be in business,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/turning-a-hobby-into-income-you-might-be-in-business,133.md,No,,
2026-03-04,Is your TPAR overdue? Lodge now to avoid penalties,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/is-your-tpar-overdue-lodge-now-to-avoid-penalties,134.md,No,,
2026-03-03,Climate resilience adds revenue options for Australia’s farmers,https://www.climatechangeauthority.gov.au/climate-resilience-adds-revenue-options-australias-farmers,135.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-05,Carlsberg Raises Climate Ambition With Updated Brewing Tomorrow ESG Programme,https://esgnews.com/carlsberg-raises-climate-ambition-with-updated-brewing-tomorrow-esg-programme/,136.md,No,,
2026-03-04,KPMG Appoints Gauthier Acket As Head Of Global ESG,https://esgnews.com/kpmg-appoints-gauthier-acket-as-head-of-global-esg/,137.md,Yes,Corporate and Institutional ESG Actions,International
2026-03-05,State of the energy transition: Your technology playbook,https://www.csiro.au/en/news/All/Articles/2026/March/State-of-the-Energy-Transition,138.md,Yes,"Reports, Data Releases, and Analytical Insights",National
2026-03-05,Taking quantum science to the outback,https://www.csiro.au/en/news/All/Articles/2026/March/Remote-schools-quantum-visit,139.md,Yes,"Community, First Nations, and Social Licence Initiatives",Western Australia
2026-03-03,CSIRO backs Australian startups tackling some of humanity's biggest challenges,https://www.csiro.au/en/news/All/News/2026/March/On-Accelerate-program,140.md,Yes,Funding and Grant Announcements,National
2026-03-05,Consultation begins on Gender Equity Charter for aviation sector,https://www.infrastructure.gov.au/department/media/news/consultation-begins-gender-equity-charter-aviation-sector,141.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-03,Construction begins on Stage 1 of Melbourne Airport Rail Link,https://www.infrastructure.gov.au/department/media/news/construction-begins-stage-1-melbourne-airport-rail-link,142.md,No,,
2026-03-03,AFC Women’s Asian Cup 2026 has kicked off,https://www.infrastructure.gov.au/department/media/news/afc-womens-asian-cup-2026-has-kicked,143.md,Yes,Funding and Grant Announcements,National
2026-03-02,REAL Program launches supporting transitions from the justice system,https://www.indigenous.gov.au/news/real-program-launches-supporting-transitions-from-justice-system,144.md,Yes,Funding and Grant Announcements,National
2026-03-05,"For Somalia, Building Climate Resilience is Key to Unlocking Long-Term Growth and Jobs",http://www.worldbank.org/en/news/press-release/2026/03/05/for-somalia-building-climate-resilience-is-key-to-unlocking-long-term-growth-and-jobs,145.md,Yes,"Reports, Data Releases, and Analytical Insights",International
2026-03-05,World Bank Backs South Africa’s Credit Guarantee Vehicle to Enable Infrastructure Finance and Boost Job Creation,http://www.worldbank.org/en/news/press-release/2026/03/05/world-bank-backs-south-africas-credit-guarantee-vehicle-to-enable-infrastructure-finance-and-boost-job-creation,146.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",International
