Date,Title,URL,FileName,md_file
2026-04-27,WBCSD Annual Meeting 2026,https://www.wbcsd.org/events/wbcsd-annual-meeting/,14_www.wbcsd.org-events.md,crawl_failure
2026-04-28,Illawarra Directors Briefing: NFP Governance Performance Study,https://www.aicd.com.au/events/all-events/nsw/EVNT-001104.html,4_www.aicd.com.au-events-all-events.html.md,crawl_failure
2026-04-29,Darwins Directors Download: Crisis Leadership: Steering Through the Storms of Public Outcry,https://www.aicd.com.au/events/all-events/nt/EVNT-001121.html,4_www.aicd.com.au-events-all-events.html.md,crawl_failure
2026-04-30,Albury-Wodonga Directors Briefing: Boardroom Culture and Organisational Impact,https://www.aicd.com.au/events/all-events/nsw/EVNT-001049.html,4_www.aicd.com.au-events-all-events.html.md,crawl_failure
2026-04-30,Sydney Directors Briefing: NFP Governance Performance Study,https://www.aicd.com.au/events/all-events/nsw/EVNT-001105.html,4_www.aicd.com.au-events-all-events.html.md,crawl_failure
2026-04-30,Melbourne Director Download - Geopolitical Disruption and Resilience Planning,https://www.aicd.com.au/events/all-events/vic/EVNT-001087.html,4_www.aicd.com.au-events-all-events.html.md,crawl_failure
2026-04-28,Data ↔ Power Melbourne Understanding the evolving risks and opportunities of data centre energy,https://theenergy.co/events/data-power-melbourne,17_theenergy.co-events.md,crawl_failure
2026-04-29,Data ↔ Power Sydney Understanding the evolving risks and opportunities of data centre energy,https://theenergy.co/events/data-power-sydney,17_theenergy.co-events.md,22.md
2026-04-28,Lowering heating hot water temperature to reduce CAPEX & OPEX - Melbourne,https://www.a2ep.org.au/post/workshop-28-april-lowering-heating-hot-water-temperature-to-reduce-capex-and-opex-melbourne,19_www.a2ep.org.au-events.md,crawl_failure
2026-05-01,SISN 'Sustainability and Climate Resilience Event',https://www.eventbrite.com.au/e/sisn-sustainability-and-climate-resilience-event-tickets-1986403999836?aff=ebdssbdestsearch,1_www.eventbrite.com.au-d-australia-events-next-week-sustainability.md,crawl_failure
2026-05-01,CHANGE,https://www.eventbrite.com.au/e/change-tickets-1985021777572?aff=ebdssbdestsearch,2_www.eventbrite.com.au-d-australia-events-next-week-climate-change.md,crawl_failure
2026-04-30,Restoring Our Harbour: Marine Science in Action,https://www.eventbrite.com.au/e/restoring-our-harbour-marine-science-in-action-tickets-1983587916856?aff=ebdssbdestsearch,2_www.eventbrite.com.au-d-australia-events-next-week-climate-change.md,crawl_failure
2026-04-30,Design Thinking for Cyber Change,https://www.eventbrite.com.au/e/design-thinking-for-cyber-change-tickets-1985224829907?aff=ebdssbdestsearch,2_www.eventbrite.com.au-d-australia-events-next-week-climate-change.md,crawl_failure
2026-04-30,The Explainer Series: Attention Span,https://www.eventbrite.com.au/e/the-explainer-series-attention-span-tickets-1982487465376?aff=ebdssbdestsearch,2_www.eventbrite.com.au-d-australia-events-next-week-climate-change.md,crawl_failure
2026-04-30,Australia's Property Market Amid Global Conflict & Policy Uncertainty,https://www.eventbrite.com.au/e/australias-property-market-amid-global-conflict-&-policy-uncertainty-1984728007899?aff=ebdssbdestsearch,2_www.eventbrite.com.au-d-australia-events-next-week-climate-change.md,crawl_failure
